day,time,operation
7,12:51,перешел в status FAILED
7,12:51,перешел в status FAILED
7,12:51,перешел в status FAILED
7,12:51,перешел в status FAILED
7,13:00,запустил test
7,13:00,запустил test
7,13:00,запустил test
7,13:00,запустил test
7,13:00,запустил test
7,13:00,стартовал grafana
7,13:00,стартовал grafana
7,13:01,стартовал grafana
7,13:02,стартовал grafana
7,13:02,стартовал grafana
7,13:05,перешел в status TEST_STOPPING
7,13:05,перешел в status CANCELED
7,13:05,перешел в status TEST_STOPPING
7,13:05,перешел в status CANCELED
7,13:05,перешел в status TEST_STOPPING
7,13:05,перешел в status CANCELED
7,13:05,перешел в status TEST_STOPPING
7,13:05,перешел в status CANCELED
7,13:05,перешел в status TEST_STOPPING
7,13:05,перешел в status CANCELED
7,13:07,запустил test
7,13:07,запустил test
7,13:07,запустил test
7,13:07,запустил test
7,13:07,запустил test
7,13:07,стартовал grafana
7,13:07,стартовал grafana
7,13:07,стартовал grafana
7,13:09,стартовал grafana
7,13:09,стартовал grafana
7,13:17,перешел в status TEST_STOPPING
7,13:17,перешел в status CANCELED
7,13:17,перешел в status TEST_STOPPING
7,13:17,перешел в status CANCELED
7,13:17,перешел в status TEST_STOPPING
7,13:17,перешел в status CANCELED
7,13:17,перешел в status TEST_STOPPING
7,13:17,перешел в status CANCELED
7,13:17,перешел в status TEST_STOPPING
7,13:17,перешел в status CANCELED
7,13:18,запустил test
7,13:18,запустил test
7,13:18,запустил test
7,13:18,стартовал grafana
7,13:20,стартовал grafana
7,13:22,стартовал grafana
7,13:24,перешел в status TEST_STOPPING
7,13:24,перешел в status CANCELED
7,13:24,перешел в status CANCELED
7,13:24,перешел в status TEST_STOPPING
7,13:24,перешел в status TEST_STOPPING
7,13:24,перешел в status CANCELED
7,13:25,запустил test
7,13:25,запустил test
7,13:25,запустил test
7,13:25,стартовал grafana
7,13:25,стартовал grafana
7,13:27,стартовал grafana
7,13:30,перешел в status TEST_STOPPING
7,13:30,перешел в status CANCELED
7,13:30,перешел в status TEST_STOPPING
7,13:30,перешел в status CANCELED
7,13:30,перешел в status TEST_STOPPING
7,13:30,перешел в status CANCELED
7,13:32,запустил test
7,13:32,запустил test
7,13:32,запустил test
7,13:32,стартовал grafana
7,13:33,стартовал grafana
7,13:36,стартовал grafana
7,13:38,перешел в status TEST_STOPPING
7,13:38,перешел в status CANCELED
7,13:39,запустил test
7,13:41,стартовал grafana
7,13:48,перешел в status TEST_STOPPING
7,13:48,перешел в status CANCELED
7,13:49,перешел в status TEST_STOPPING
7,13:49,перешел в status CANCELED
7,13:49,перешел в status TEST_STOPPING
7,13:49,перешел в status CANCELED
7,13:50,запустил test
7,13:50,запустил test
7,13:50,запустил test
7,13:52,стартовал grafana
7,13:52,стартовал grafana
7,13:52,стартовал grafana
7,13:54,перешел в status TEST_STOPPING
7,13:54,перешел в status CANCELED
7,13:54,перешел в status TEST_STOPPING
7,13:54,перешел в status CANCELED
7,13:54,перешел в status TEST_STOPPING
7,13:54,перешел в status CANCELED
7,13:56,запустил test
7,13:56,запустил test
7,13:56,запустил test
7,13:57,стартовал grafana
7,13:57,стартовал grafana
7,13:57,стартовал grafana
7,14:00,перешел в status TEST_STOPPING
7,14:00,перешел в status CANCELED
7,14:00,перешел в status TEST_STOPPING
7,14:00,перешел в status CANCELED
7,14:00,перешел в status TEST_STOPPING
7,14:00,перешел в status CANCELED
7,14:01,запустил test
7,14:01,запустил test
7,14:01,запустил test
7,14:01,стартовал grafana
7,14:01,стартовал grafana
7,14:01,стартовал grafana
7,14:04,перешел в status TEST_STOPPING
7,14:04,перешел в status CANCELED
7,14:05,перешел в status TEST_STOPPING
7,14:05,перешел в status CANCELED
7,14:05,перешел в status TEST_STOPPING
7,14:05,перешел в status CANCELED
7,14:05,запустил test
7,14:05,запустил test
7,14:05,запустил test
7,14:06,стартовал grafana
7,14:07,стартовал grafana
7,14:08,стартовал grafana
7,14:27,перешел в status FINISHED
7,14:29,перешел в status FINISHED
7,14:29,перешел в status FINISHED
7,14:31,запустил test
7,14:35,стартовал grafana
7,14:40,перешел в status TEST_STOPPING
7,14:40,перешел в status CANCELED
7,14:40,запустил test
7,14:40,запустил test
7,14:40,запустил test
7,14:42,стартовал grafana
7,14:42,стартовал grafana
7,14:42,стартовал grafana
7,14:46,перешел в status TEST_STOPPING
7,14:46,перешел в status CANCELED
7,14:46,перешел в status TEST_STOPPING
7,14:46,перешел в status CANCELED
7,14:46,перешел в status TEST_STOPPING
7,14:46,перешел в status CANCELED
7,14:47,запустил test
7,14:47,запустил test
7,14:47,запустил test
7,14:51,стартовал grafana
7,14:51,стартовал grafana
7,14:51,стартовал grafana
7,14:54,перешел в status TEST_STOPPING
7,14:54,перешел в status CANCELED
7,14:54,перешел в status TEST_STOPPING
7,14:54,перешел в status CANCELED
7,14:54,перешел в status TEST_STOPPING
7,14:54,перешел в status CANCELED
